TIME,01/04/18,02/04/18,03/04/18,04/04/18,05/04/18,06/04/18,07/04/18,08/04/18,09/04/18,10/04/18,11/04/18,12/04/18,13/04/18,14/04/18,15/04/18,16/04/18,17/04/18,18/04/18,19/04/18,20/04/18,21/04/18,22/04/18,23/04/18,24/04/18,25/04/18,26/04/18,27/04/18,28/04/18,29/04/18,30/04/18,,Modal Day,,,Minutes,Hours
0:00,soc rel,projects,relaxing,soc rel,soc rel,qt,soc rel,housework,soc rel,sleep,sleep,sleep,relaxing,relaxing,soc rel,qt,relaxing,reading,relaxing,soc rec,sleep,qt,tv,reading,reading,sleep,reading,relaxing,soc rel,sleep,,soc rel,,Sleep,14560,242.67
0:20,qt,sleep,reading,relaxing,relaxing,qt,relaxing,tv,soc rel,sleep,sleep,sleep,qt,relaxing,relaxing,qt,sleep,reading,reading,soc rec,sleep,qt,reading,reading,sleep,sleep,reading,relaxing,soc rel,sleep,,sleep,,PhD Work,6640,110.67
0:40,qt,sleep,sleep,relaxing,reading,qt,qt,tv,sleep,sleep,sleep,sleep,qt,sleep,relaxing,qt,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,soc rel,sleep,,sleep,,PhD Admin,980,16.33
1:00,sleep,sleep,sleep,sleep,sleep,qt,qt,qt,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,soc rel,sleep,,sleep,,Life Admin,220,3.67
1:20,sleep,sleep,sleep,sleep,sleep,sleep,qt,qt,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,,sleep,,Outreach,60,1.00
1:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,,sleep,,Soc Rec,1740,29.00
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,reading,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rel,2600,43.33
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,reading,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Family Time,420,7.00
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,reading,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,960,16.00
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,reading,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,660,11.00
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,1860,31.00
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,2380,39.67
