TIME,01/08/18,02/08/18,03/08/18,04/08/18,05/08/18,06/08/18,07/08/18,08/08/18,09/08/18,10/08/18,11/08/18,12/08/18,13/08/18,14/08/18,15/08/18,16/08/18,17/08/18,18/08/18,19/08/18,20/08/18,21/08/18,22/08/18,23/08/18,24/08/18,25/08/18,26/08/18,27/08/18,28/08/18,29/08/18,30/08/18,31/08/18,,Modal Day,,,Minutes,Hour
0:00,soc rec,soc rec,soc rec,soc rec,sleep,travel,sleep,qt,Sleep,sleep,qt,qt,phd admin,board games,qt,relaxing,qt,qt,soc rel,sleep,hygiene,relaxing,sleep,life admin,video games,video games,soc rec,sleep,qt,sleep,relaxing,,sleep,,Sleep,14560,242.67
0:20,soc rec,soc rec,soc rec,soc rec,sleep,travel,sleep,sleep,Sleep,sleep,qt,qt,phd admin,board games,relaxing,relaxing,qt,qt,soc rel,sleep,relaxing,relaxing,sleep,life admin,video games,video games,soc rec,sleep,qt,sleep,relaxing,,sleep,,PhD Work,4320,72.00
0:40,soc rec,soc rec,soc rec,soc rec,sleep,travel,sleep,sleep,Sleep,sleep,qt,qt,phd admin,board games,sleep,sleep,sleep,hygiene,soc rel,sleep,sleep,sleep,sleep,sleep,tv,video games,soc rec,sleep,qt,sleep,relaxing,,sleep,,PhD Admin,1760,29.33
1:00,soc rec,soc rec,soc rec,soc rec,sleep,travel,sleep,sleep,Sleep,sleep,qt,qt,phd admin,board games,sleep,sleep,sleep,qt,qt,sleep,sleep,sleep,sleep,sleep,tv,tv,soc rec,sleep,qt,sleep,relaxing,,sleep,,Life Admin,340,5.67
1:20,soc rec,sleep,soc rec,soc rec,sleep,travel,sleep,sleep,Sleep,sleep,qt,sleep,projects,board games,sleep,sleep,sleep,qt,qt,sleep,sleep,sleep,sleep,sleep,tv,tv,soc rec,sleep,sleep,sleep,sleep,,sleep,,Outreach,0,0.00
1:40,sleep,sleep,soc rec,soc rec,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,projects,travel,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,tv,tv,soc rec,sleep,sleep,sleep,sleep,,sleep,,Soc Rec,2460,41.00
2:00,sleep,sleep,soc rec,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,relaxing,soc rel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,tv,soc rec,sleep,sleep,sleep,sleep,,sleep,,Soc Rel,1780,29.67
2:20,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,tv,soc rec,sleep,sleep,sleep,sleep,,sleep,,Family Time,440,7.33
2:40,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,tv,soc rec,sleep,sleep,sleep,sleep,,sleep,,Projects,1000,16.67
3:00,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,soc rec,sleep,sleep,sleep,sleep,,sleep,,Reading,0,0.00
3:20,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,600,10.00
3:40,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,2760,46.00
4:00,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,180,3.00
4:20,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,660,11.00
4:40,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,900,15.00
5:00,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,3140,52.33
5:20,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,1940,32.33
5:40,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,3020,50.33
6:00,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,100,1.67
6:20,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,460,7.67
6:40,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,0,0.00
7:00,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,2200,36.67
7:20,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Shopping,400,6.67
7:40,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Misc Recreation,1620,27.00
8:00,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,food,hygiene,hygiene,hygiene,,sleep,,,,
8:20,sleep,sleep,sleep,sleep,hygiene,travel,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,food,housework,hygiene,hygiene,food,sleep,sleep,sleep,relaxing,food,food,food,,sleep,,,,
8:40,sleep,sleep,sleep,sleep,food,travel,sleep,sleep,Sleep,sleep,sleep,qt,sleep,sleep,hygiene,food,hygiene,sleep,sleep,relaxing,food,food,food,relaxing,relaxing,sleep,sleep,relaxing,relaxing,relaxing,food,,sleep,,,,
9:00,sleep,sleep,sleep,sleep,food,travel,sleep,sleep,Sleep,hygiene,sleep,qt,hygiene,relaxing,food,relaxing,food,sleep,sleep,food,food,relaxing,relaxing,life admin,food,sleep,sleep,travel,travel,travel,travel,,sleep,,,,
9:20,sleep,sleep,sleep,sleep,relaxing,travel,sleep,sleep,sleep,food,sleep,qt,relaxing,hygiene,relaxing,food,relaxing,qt,sleep,shopping,travel,relaxing,food,relaxing,relaxing,sleep,relaxing,phd admin,phd admin,phd work,phd work,,sleep,,,,
9:40,food,sleep,hygiene,sleep,housework,travel,sleep,sleep,hygiene,relaxing,sleep,hygiene,food,food,food,travel,food,qt,sleep,life admin,phd work,travel,travel,life admin,relaxing,food,relaxing,phd admin,phd admin,phd work,phd work,,food,,,,
10:00,relaxing,sleep,food,food,housework,relaxing,sleep,sleep,food,housework,sleep,food,relaxing,soc rel,travel,phd work,travel,food,sleep,travel,phd work,phd work,phd admin,travel,video games,relaxing,food,phd admin,phd work,phd work,phd work,,food,,,,
10:20,relaxing,hygiene,relaxing,hygiene,soc rel,relaxing,sleep,sleep,relaxing,travel,sleep,family time,travel,travel,shopping,phd work,phd work,food,food,phd admin,phd work,phd work,phd work,travel,video games,relaxing,video games,phd admin,phd work,phd work,phd work,,phd work,,,,
10:40,hygiene,food,soc rel,relaxing,soc rel,food,sleep,sleep,travel,phd admin,sleep,family time,phd admin,phd work,phd work,phd work,phd work,housework,food,phd admin,phd work,phd work,soc rel,travel,video games,video games,video games,phd admin,phd work,phd work,phd work,,phd work,,,,
11:00,soc rel,relaxing,soc rel,soc rel,travel,relaxing,hygiene,sleep,phd admin,phd admin,sleep,family time,phd admin,phd work,phd work,soc rel,phd work,projects,relaxing,relaxing,phd work,phd work,soc rel,travel,video games,video games,video games,phd admin,phd admin,phd work,phd work,,phd work,,,,
11:20,soc rel,soc rel,soc rel,travel,travel,relaxing,food,sleep,phd admin,phd admin,sleep,travel,phd admin,phd work,phd work,soc rel,phd work,projects,relaxing,phd admin,phd work,phd work,phd work,soc rel,video games,video games,video games,phd admin,phd admin,phd work,phd work,,phd work,,,,
11:40,soc rel,travel,travel,soc rec,travel,relaxing,relaxing,hygiene,phd admin,phd admin,food,shopping,phd admin,phd work,phd work,phd work,phd work,projects,projects,phd admin,phd work,phd work,phd work,life admin,soc rel,video games,soc rel,phd admin,phd admin,phd work,phd work,,phd work,,,,
12:00,travel,soc rec,soc rec,soc rec,travel,travel,relaxing,food,phd admin,phd admin,food,qt,shopping,phd work,phd work,phd work,phd work,projects,projects,phd admin,phd work,phd work,phd work,travel,video games,video games,video games,phd admin,phd work,phd work,phd work,,phd work,,,,
12:20,soc rec,food,soc rec,soc rec,travel,travel,housework,relaxing,phd admin,phd admin,relaxing,qt,food,shopping,phd work,phd work,phd work,relaxing,projects,phd admin,phd work,shopping,phd work,Misc Recreation,video games,hygiene,video games,phd admin,food,phd work,phd work,,phd work,,,,
12:40,soc rec,misc recreation,food,soc rec,travel,travel,housework,relaxing,food,food,relaxing,qt,soc rel,food,food,food,food,projects,relaxing,food,food,food,food,Misc Recreation,video games,food,video games,shopping,soc rel,food,food,,food,,,,
13:00,soc rec,misc recreation,food,food,travel,travel,travel,housework,soc rel,soc rel,hygiene,phd admin,soc rel,soc rel,soc rel,food,soc rel,projects,projects,soc rel,soc rel,soc rel,soc rel,Misc Recreation,video games,relaxing,video games,food,soc rel,soc rel,soc rel,,soc rel,,,,
13:20,food,misc recreation,misc recreation,food,travel,travel,travel,housework,soc rel,soc rel,housework,phd admin,phd admin,soc rel,relaxing,soc rel,soc rel,projects,projects,soc rel,soc rel,soc rel,soc rel,travel,video games,video games,soc rel,soc rel,phd work,soc rel,soc rel,,soc rel,,,,
