TIME,01/10/18,02/10/18,03/10/18,04/10/18,05/10/18,06/10/18,07/10/18,08/10/18,09/10/18,10/10/18,11/10/18,12/10/18,13/10/18,14/10/18,15/10/18,16/10/18,17/10/18,18/10/18,19/10/18,20/10/18,21/10/18,22/10/18,23/10/18,24/10/18,25/10/18,26/10/18,27/10/18,28/10/18,29/10/18,30/10/18,31/10/18,,Modal Day,,,Minutes,Hour
0:00,qt,travel,sleep,sleep,sleep,sleep,relaxing,sleep,tv,qt,life admin,qt,sleep,qt,sleep,qt,tv,tv,tv,qt,qt,qt,qt,travel,qt,qt,sleep,qt,projects,projects,d&d,,qt,,Sleep,14820,247.00
0:20,qt,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,relaxing,sleep,sleep,sleep,sleep,sleep,tv,tv,tv,phd work,qt,qt,qt,travel,sleep,sleep,sleep,sleep,projects,qt,d&d,,sleep,,PhD Work,5540,92.33
0:40,qt,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,tv,video games,phd work,phd work,qt,qt,travel,sleep,sleep,sleep,sleep,projects,projects,d&d,,sleep,,PhD Admin,1060,17.67
1:00,qt,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,video games,phd work,phd work,qt,phd work,travel,sleep,sleep,sleep,sleep,projects,projects,d&d,,sleep,,Life Admin,820,13.67
1:20,qt,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,video games,phd work,phd work,qt,phd work,travel,sleep,sleep,sleep,sleep,projects,sleep,d&d,,sleep,,Outreach,340,5.67
1:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,video games,phd work,phd work,phd work,phd work,travel,sleep,sleep,sleep,sleep,qt,sleep,d&d,,sleep,,Soc Rec,1840,30.67
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,video games,phd work,phd work,phd work,phd work,travel,sleep,sleep,sleep,sleep,qt,sleep,soc rel,,sleep,,Soc Rel,920,15.33
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,video games,phd work,phd work,phd work,phd work,travel,sleep,sleep,sleep,sleep,qt,sleep,sleep,,sleep,,Family Time,1140,19.00
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,phd work,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,920,15.33
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,phd work,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,160,2.67
