TIME,2/1/2018,2/2/2018,2/3/2018,2/4/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/10/2018,2/11/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/17/2018,2/18/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/24/2018,2/25/2018,2/26/2018,2/27/2018,2/28/2018,,Modal Day,,,Minutes,Hours
0:00,Sleep,tv,reading,tv,projects,tv,projects,relaxing,soc rel,qt,qt,sleep,projects,reading,projects,projects,travel,sleep,soc rel,soc rec,projects,projects,projects,qt,board games,tv,relaxing,reading,,projects,,Sleep,12960,216.0
0:20,Sleep,reading,soc rel,qt,reading,projects,relaxing,life admin,life admin,sleep,qt,sleep,reading,reading,projects,projects,travel,sleep,tv,soc rec,reading,reading,projects,sleep,qt,soc rec,reading,reading,,reading,,PhD Work,6180,103.0
0:40,Sleep,Sleep,soc rel,qt,sleep,projects,sleep,reading,relaxing,sleep,sleep,sleep,reading,reading,projects,reading,soc rel,sleep,reading,soc rec,reading,reading,reading,sleep,qt,relaxing,reading,sleep,,Sleep,,PhD Admin,1560,26.0
1:00,Sleep,Sleep,qt,qt,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,reading,sleep,sleep,,Sleep,,Life Admin,260,4.3
1:20,Sleep,Sleep,qt,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Outreach,460,7.7
1:40,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,reading,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Soc Rec,1740,29.0
2:00,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Soc Rel,1840,30.7
2:20,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Family Time,400,6.7
2:40,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Projects,1200,20.0
3:00,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Reading,480,8.0
3:20,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,TV,1320,22.0
3:40,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Relaxing,1480,24.7
4:00,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Exercise,160,2.7
4:20,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Hygiene,500,8.3
4:40,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Housework,740,12.3
5:00,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Food,3640,60.7
5:20,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,QT,1480,24.7
5:40,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Travel,1940,32.3
6:00,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Golf,280,4.7
6:20,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Board Games,620,10.3
6:40,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,D&D,640,10.7
7:00,Sleep,Sleep,sleep,sleep,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Video Games,100,1.7
