TIME,01/01/18,02/01/18,03/01/18,04/01/18,05/01/18,06/01/18,07/01/18,08/01/18,09/01/18,10/01/18,11/01/18,12/01/18,13/01/18,14/01/18,15/01/18,16/01/18,17/01/18,18/01/18,19/01/18,20/01/18,21/01/18,22/01/18,23/01/18,24/01/18,25/01/18,26/01/18,27/01/18,28/01/18,29/01/18,30/01/18,31/01/18,,Modal Day,,Ranking,Minutes,Hours
0:00,soc rec,QT,Relaxing,Board Games,Board Games,Board Games,soc rel,Reading,Reading,Sleep,Relaxing,Relaxing,Board Games,relaxing,QT,phd work,reading,qt,phd work,qt,board games,relaxing,reading,reading,life admin,reading,qt,qt,sleep,Reading,sleep,,Reading,,Sleep,14140,235.6666667
0:20,Board Games,QT,Relaxing,Board Games,Board Games,Board Games,PhD Admin,Reading,Reading,Sleep,relaxing,relaxing,Board Games,qt,qt,phd work,sleep,qt,sleep,sleep,board games,reading,reading,sleep,reading,sleep,qt,qt,sleep,sleep,sleep,,Sleep,,PhD Work,4880,81.33333333
0:40,Board Games,QT,Reading,Board Games,Board Games,Board Games,PhD Admin,Sleep,Sleep,Sleep,Relaxing,Relaxing,Board Games,qt,qt,relaxing,sleep,qt,sleep,sleep,board games,sleep,sleep,sleep,reading,sleep,sleep,qt,sleep,sleep,sleep,,Sleep,,PhD Admin,3700,61.66666667
1:00,Board Games,QT,Reading,Board Games,Board Games,Board Games,PhD Admin,Sleep,Sleep,Sleep,Sleep,Sleep,Board Games,qt,qt,reading,sleep,qt,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Life Admin,440,7.333333333
1:20,Board Games,QT,Reading,Board Games,Board Games,Board Games,PhD Admin,Sleep,Sleep,Sleep,Sleep,Sleep,Board Games,qt,qt,sleep,sleep,qt,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Outreach,0,0
1:40,Board Games,QT,Sleep,Board Games,Relaxing,Board Games,relaxing,Sleep,Sleep,Sleep,Sleep,Sleep,Relaxing,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Soc Rec,1020,17
2:00,Board Games,Sleep,Sleep,Board Games,Sleep,Relaxing,Reading,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Soc Rel,2640,44
2:20,Board Games,Sleep,Sleep,Relaxing,Reading,Relaxing,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Family Time,320,5.333333333
2:40,soc rec,Sleep,Sleep,Relaxing,Sleep,Relaxing,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Projects,620,10.33333333
3:00,soc rec,Sleep,Sleep,Sleep,Sleep,Reading,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Reading,640,10.66666667
3:20,soc rec,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,TV,1180,19.66666667
3:40,soc rec,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Relaxing,2840,47.33333333
4:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Exercise,340,5.666666667
4:20,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Hygiene,540,9
4:40,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Housework,500,8.333333333
5:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,Food,3480,58
5:20,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,Sleep,,QT,1980,33
