TIME,01/07/18,02/07/18,03/07/18,04/07/18,05/07/18,06/07/18,07/07/18,08/07/18,09/07/18,10/07/18,11/07/18,12/07/18,13/07/18,14/07/18,15/07/18,16/07/18,17/07/18,18/07/18,19/07/18,20/07/18,21/07/18,22/07/18,23/07/18,24/07/18,25/07/18,26/07/18,27/07/18,28/07/18,29/07/18,30/07/18,31/07/18,,Modal Day,,,Minutes,Hours
0:00,soc rec,sleep,sleep,tv,relaxing,sleep,qt,qt,sleep,video games,relaxing,phd work,sleep,board games,board games,projects,relaxing,sleep,relaxing,life admin,sleep,hygiene,sleep,sleep,sleep,sleep,phd work,relaxing,relaxing,soc rec,soc rec,,sleep,,Sleep,14240,237.33
0:20,soc rec,sleep,sleep,relaxing,relaxing,sleep,sleep,qt,sleep,video games,relaxing,phd work,sleep,board games,board games,sleep,sleep,sleep,qt,life admin,sleep,sleep,sleep,sleep,sleep,sleep,phd work,soc rel,soc rec,soc rec,soc rec,,sleep,,PhD Work,7180,119.67
0:40,soc rec,sleep,sleep,relaxing,relaxing,sleep,sleep,qt,sleep,relaxing,relaxing,relaxing,sleep,board games,board games,sleep,sleep,sleep,qt,life admin,sleep,sleep,sleep,sleep,sleep,sleep,phd work,soc rel,soc rec,soc rec,soc rec,,sleep,,PhD Admin,1100,18.33
1:00,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,relaxing,phd work,sleep,soc rel,board games,sleep,sleep,sleep,qt,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,soc rec,soc rec,soc rec,,sleep,,Life Admin,780,13.00
1:20,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,sleep,soc rel,board games,sleep,sleep,sleep,qt,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,soc rec,soc rec,,sleep,,Outreach,0,0.00
1:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,sleep,relaxing,board games,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,soc rec,,sleep,,Soc Rec,2740,45.67
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,sleep,relaxing,board games,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,soc rec,,sleep,,Soc Rel,2940,49.00
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,sleep,sleep,qt,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,,sleep,,Family Time,0,0.00
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,320,5.33
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,0,0.00
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,960,16.00
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,2360,39.33
4:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,60,1.00
4:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,560,9.33
4:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,260,4.33
5:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,2980,49.67
5:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,740,12.33
5:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,3740,62.33
6:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,0,0.00
6:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,1320,22.00
6:40,tv,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,500,8.33
7:00,tv,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,relaxing,relaxing,relaxing,relaxing,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,480,8.00
