TIME,01/06/18,02/06/18,03/06/18,04/06/18,05/06/18,06/06/18,07/06/18,08/06/18,09/06/18,10/06/18,11/06/18,12/06/18,13/06/18,14/06/18,15/06/18,16/06/18,17/06/18,18/06/18,19/06/18,20/06/18,21/06/18,22/06/18,23/06/18,24/06/18,25/06/18,26/06/18,27/06/18,28/06/18,29/06/18,30/06/18,,Modal Day,,,Minutes,Hours
0:00,tv,tv,qt,projects,relaxing,video games,phd work,qt,video games,board games,relaxing,sleep,relaxing,reading,reading,qt,qt,reading,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,life admin,relaxing,qt,,sleep,,Sleep,14440,240.67
0:20,tv,sleep,qt,projects,projects,projects,phd work,qt,video games,board games,sleep,sleep,relaxing,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,relaxing,sleep,relaxing,,sleep,,PhD Work,4460,74.33
0:40,tv,sleep,sleep,housework,projects,relaxing,relaxing,qt,video games,board games,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,PhD Admin,1120,18.67
1:00,qt,sleep,sleep,sleep,relaxing,sleep,sleep,qt,qt,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Life Admin,440,7.33
1:20,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Outreach,1040,17.33
1:40,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,board games,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rec,1460,24.33
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rel,1960,32.67
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Family Time,160,2.67
2:40,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,qt,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,1100,18.33
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,220,3.67
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,1780,29.67
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,2240,37.33
4:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,200,3.33
4:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,600,10.00
4:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,1060,17.67
5:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,3500,58.33
