TIME,01/03/18,02/03/18,03/03/18,04/03/18,05/03/18,06/03/18,07/03/18,08/03/18,09/03/18,10/03/18,11/03/18,12/03/18,13/03/18,14/03/18,15/03/18,16/03/18,17/03/18,18/03/18,19/03/18,20/03/18,21/03/18,22/03/18,23/03/18,24/03/18,25/03/18,26/03/18,27/03/18,28/03/18,29/03/18,30/03/18,31/03/18,,Modal Day,,,Minutes,Hours
0:00,reading,QT,board games,board games,tv,soc rec,reading,tv,reading,sleep,reading,sleep,relaxing,tv,qt,sleep,qt,board games,phd work,tv,phd work,phd work,relaxing,relaxing,soc rec,d&d,reading,qt,tv,qt,soc rec,,reading,,Sleep,14280,238.00
0:20,sleep,qt,board games,board games,projects,reading,sleep,reading,reading,sleep,reading,sleep,relaxing,tv,qt,sleep,qt,board games,phd work,sleep,phd work,phd work,relaxing,relaxing,reading,soc rel,sleep,qt,tv,qt,qt,,sleep,,PhD Work,6260,104.33
0:40,sleep,Sleep,board games,board games,reading,sleep,sleep,reading,sleep,sleep,sleep,sleep,reading,soc rel,qt,sleep,qt,board games,phd work,sleep,phd work,housework,sleep,sleep,reading,soc rel,sleep,qt,tv,qt,qt,,sleep,,PhD Admin,2620,43.67
1:00,sleep,Sleep,board games,board games,reading,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,board games,phd work,sleep,phd work,housework,sleep,sleep,sleep,soc rel,sleep,qt,tv,sleep,sleep,,sleep,,Life Admin,220,3.67
1:20,sleep,Sleep,soc rel,soc rel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,board games,phd work,sleep,phd work,relaxing,sleep,sleep,sleep,reading,sleep,sleep,relaxing,sleep,sleep,,sleep,,Outreach,1080,18.00
1:40,sleep,Sleep,qt,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,phd work,sleep,phd work,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,,sleep,,Soc Rec,1340,22.33
2:00,sleep,Sleep,qt,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,housework,sleep,phd work,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,,sleep,,Soc Rel,2460,41.00
2:20,sleep,Sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,housework,sleep,relaxing,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Family Time,300,5.00
2:40,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,phd work,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,560,9.33
3:00,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,400,6.67
3:20,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,1580,26.33
3:40,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,2220,37.00
4:00,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,180,3.00
4:20,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,500,8.33
4:40,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,720,12.00
5:00,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,3780,63.00
5:20,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,1980,33.00
5:40,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,1720,28.67
6:00,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,0,0.00
6:20,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,1280,21.33
6:40,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,460,7.67
7:00,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,180,3.00
7:20,sleep,Sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Shopping,280,4.67
