TIME,01/05/18,02/05/18,03/05/18,04/05/18,05/05/18,06/05/18,07/05/18,08/05/18,09/05/18,10/05/18,11/05/18,12/05/18,13/05/18,14/05/18,15/05/18,16/05/18,17/05/18,18/05/18,19/05/18,20/05/18,21/05/18,22/05/18,23/05/18,24/05/18,25/05/18,26/05/18,27/05/18,28/05/18,29/05/18,30/05/18,31/05/18,,Modal Day,,,Minutes,Hours
0:00,reading,relaxing,relaxing,reading,video games,qt,qt,phd work,sleep,projects,soc rel,sleep,qt,relaxing,reading,reading,relaxing,projects,sleep,tv,relaxing,soc rel,projects,relaxing,reading,tv,relaxing,qt,sleep,sleep,projects,,relaxing,,Sleep,14420,240.33
0:20,reading,reading,relaxing,sleep,video games,qt,qt,phd work,sleep,projects,soc rel,sleep,relaxing,reading,sleep,reading,sleep,projects,sleep,qt,relaxing,sleep,projects,relaxing,reading,relaxing,sleep,qt,sleep,sleep,projects,,sleep,,PhD Work,4140,69.00
0:40,sleep,sleep,relaxing,sleep,video games,sleep,qt,reading,sleep,sleep,relaxing,sleep,relaxing,sleep,sleep,sleep,sleep,projects,sleep,qt,relaxing,sleep,sleep,relaxing,sleep,sleep,sleep,qt,sleep,sleep,qt,,sleep,,PhD Admin,3420,57.00
1:00,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,,sleep,,Life Admin,580,9.67
1:20,sleep,sleep,sleep,sleep,reading,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,,sleep,,Outreach,560,9.33
1:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rec,1060,17.67
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rel,2640,44.00
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Family Time,980,16.33
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,1600,26.67
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,360,6.00
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,1600,26.67
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,2180,36.33
4:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,140,2.33
4:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,520,8.67
