TIME,01/10/18,02/10/18,03/10/18,04/10/18,05/10/18,06/10/18,07/10/18,08/10/18,09/10/18,10/10/18,11/10/18,12/10/18,13/10/18,14/10/18,15/10/18,16/10/18,17/10/18,18/10/18,19/10/18,20/10/18,21/10/18,22/10/18,23/10/18,24/10/18,25/10/18,26/10/18,27/10/18,28/10/18,29/10/18,30/10/18,31/10/18,,Modal Day,,,Minutes,Hour
0:00,relaxing,sleep,reading,sleep,phd work,tv,tv,sleep,sleep,tv,relaxing,relaxing,tv,phd work,phd work,phd work,sleep,life admin,sleep,soc rel,soc rel,projects,sleep,soc rel,sleep,sleep,sleep,board games,sleep,relaxing,qt,,sleep,,Sleep,14220,237.00
0:20,relaxing,sleep,sleep,sleep,sleep,tv,tv,sleep,sleep,sleep,sleep,tv,tv,phd work,phd work,phd work,sleep,projects,sleep,soc rel,qt,projects,sleep,housework,sleep,sleep,sleep,board games,sleep,sleep,qt,,sleep,,PhD Work,6840,114.00
0:40,reading,sleep,sleep,sleep,sleep,qt,tv,sleep,sleep,sleep,sleep,tv,tv,phd work,phd work,food,sleep,projects,sleep,soc rel,qt,projects,sleep,relaxing,sleep,sleep,sleep,board games,sleep,sleep,sleep,,sleep,,PhD Admin,1820,30.33
1:00,sleep,sleep,sleep,sleep,sleep,qt,tv,sleep,sleep,sleep,sleep,sleep,hygiene,phd work,food,phd work,sleep,sleep,sleep,qt,sleep,relaxing,sleep,relaxing,sleep,sleep,sleep,board games,sleep,sleep,sleep,,sleep,,Life Admin,760,12.67
1:20,sleep,sleep,sleep,sleep,sleep,qt,tv,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rec,sleep,sleep,sleep,,sleep,,Outreach,460,7.67
1:40,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,sleep,,sleep,,Soc Rec,720,12.00
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,,sleep,,Soc Rel,1420,23.67
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,,sleep,,Family Time,40,0.67
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,860,14.33
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,160,2.67
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,1460,24.33
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,1080,18.00
