TIME,01/09/18,02/09/18,03/09/18,04/09/18,05/09/18,06/09/18,07/09/18,08/09/18,09/09/18,10/09/18,11/09/18,12/09/18,13/09/18,14/09/18,15/09/18,16/09/18,17/09/18,18/09/18,19/09/18,20/09/18,21/09/18,22/09/18,23/09/18,24/09/18,25/09/18,26/09/18,27/09/18,28/09/18,29/09/18,30/09/18,,Modal Day,,,Minutes,Hours
0:00,sleep,qt,housework,relaxing,projects,life admin,qt,qt,soc rec,qt,reading,reading,relaxing,sleep,relaxing,soc rel,tv,qt,sleep,travel,travel,soc rel,relaxing,life admin,relaxing,relaxing,relaxing,reading,reading,reading,,relaxing,,Sleep,13200,220.00
0:20,sleep,qt,sleep,sleep,life admin,life admin,sleep,qt,sleep,relaxing,sleep,sleep,relaxing,sleep,sleep,relaxing,sleep,sleep,sleep,hygiene,sleep,soc rel,relaxing,sleep,sleep,relaxing,sleep,sleep,sleep,reading,,sleep,,PhD Work,6300,105.00
0:40,sleep,sleep,sleep,sleep,life admin,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,sleep,sleep,sleep,life admin,sleep,travel,projects,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,,sleep,,PhD Admin,640,10.67
1:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,sleep,sleep,sleep,sleep,sleep,soc rec,projects,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,,sleep,,Life Admin,900,15.00
1:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,soc rec,qt,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,,sleep,,Outreach,0,0.00
1:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,soc rec,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rec,1980,33.00
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rel,2200,36.67
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Family Time,1360,22.67
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,soc rec,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,500,8.33
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,600,10.00
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,projects,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,1220,20.33
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,1920,32.00
4:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,320,5.33
4:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,620,10.33
4:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,640,10.67
5:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,2940,49.00
5:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,tv,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,1420,23.67
5:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,3960,66.00
6:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,340,5.67
6:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,940,15.67
6:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,0,0.00
7:00,sleep,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,600,10.00
7:20,sleep,sleep,sleep,sleep,sleep,sleep,qt,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Shopping,420,7.00
7:40,sleep,sleep,food,sleep,sleep,food,qt,qt,sleep,hygiene,hygiene,hygiene,sleep,hygiene,sleep,sleep,hygiene,hygiene,hygiene,hygiene,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Misc Recreation,180,3.00
8:00,food,sleep,relaxing,food,food,relaxing,qt,qt,sleep,housework,food,food,sleep,food,food,hygiene,food,food,food,food,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,,,
8:20,relaxing,sleep,food,relaxing,relaxing,exercise,qt,qt,qt,food,relaxing,relaxing,hygiene,soc rel,soc rel,food,travel,travel,travel,travel,travel,sleep,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,,sleep,,,,
8:40,phd work,sleep,travel,relaxing,food,exercise,qt,qt,qt,food,travel,travel,food,relaxing,relaxing,relaxing,travel,travel,travel,travel,travel,sleep,sleep,hygiene,sleep,sleep,hygiene,food,sleep,food,,travel,,,,
9:00,phd work,qt,phd work,travel,travel,hygiene,food,qt,qt,relaxing,phd work,phd work,relaxing,travel,housework,life admin,travel,travel,travel,travel,travel,sleep,food,food,sleep,sleep,housework,relaxing,food,relaxing,,travel,,,,
9:20,phd work,qt,phd work,phd work,phd work,relaxing,food,food,qt,travel,phd work,phd work,relaxing,phd work,relaxing,tv,travel,travel,travel,travel,shopping,sleep,relaxing,relaxing,sleep,hygiene,food,travel,relaxing,family time,,phd work,,,,
9:40,food,qt,phd work,phd work,phd work,relaxing,hygiene,food,qt,shopping,phd work,phd work,relaxing,phd work,exercise,life admin,phd admin,phd work,phd work,phd work,travel,sleep,projects,relaxing,sleep,food,relaxing,phd work,relaxing,family time,,phd work,,,,
10:00,travel,food,phd work,phd work,phd work,travel,life admin,food,life admin,phd admin,phd work,phd work,travel,phd work,exercise,tv,phd work,phd work,phd work,phd work,food,sleep,relaxing,travel,hygiene,food,travel,phd work,exercise,family time,,phd work,,,,
10:20,golf,relaxing,phd work,phd work,phd work,travel,life admin,life admin,food,phd admin,phd work,relaxing,life admin,phd work,exercise,life admin,phd work,phd work,phd work,phd work,relaxing,sleep,relaxing,shopping,food,travel,phd admin,phd work,exercise,family time,,phd work,,,,
10:40,golf,life admin,phd work,phd work,phd work,travel,travel,life admin,food,phd admin,phd work,phd work,life admin,phd work,exercise,travel,phd work,phd work,phd work,phd work,soc rel,sleep,exercise,phd admin,food,phd work,phd work,phd work,exercise,family time,,phd work,,,,
11:00,golf,travel,phd work,phd work,phd work,travel,travel,travel,qt,phd admin,phd work,phd work,travel,phd work,hygiene,travel,phd work,phd work,phd work,phd work,life admin,sleep,exercise,phd admin,travel,phd work,soc rel,phd work,hygiene,reading,,phd work,,,,
11:20,golf,phd work,phd work,phd work,phd work,travel,food,travel,tv,phd admin,phd work,phd work,food,phd work,housework,travel,phd work,phd work,soc rel,phd work,life admin,sleep,exercise,phd admin,phd work,phd work,phd work,phd work,life admin,reading,,phd work,,,,
11:40,golf,shopping,phd work,phd work,phd work,travel,family time,family time,tv,travel,phd work,phd work,travel,phd work,relaxing,travel,relaxing,soc rel,soc rel,relaxing,travel,sleep,housework,phd admin,phd work,phd work,phd work,phd work,soc rel,reading,,phd work,,,,
